epoch_time,heading,x,y
1751118851.234830,-0.005412654,0.431174447,-0.001199230
1751118851.249341,-0.005513964,0.438178044,-0.001237138
1751118851.254437,-0.005582494,0.444597527,-0.001272535
1751118851.267127,-0.005659846,0.452758132,-0.001318092
1751118851.276719,-0.005757612,0.461153213,-0.001365608
1751118851.286011,-0.005837273,0.468113354,-0.001405682
1751118851.298180,-0.005840523,0.476271917,-0.001453306
1751118851.305026,-0.005843594,0.483980539,-0.001498329
1751118851.315588,-0.005902500,0.491925671,-0.001544758
1751118851.324624,-0.005993360,0.499440984,-0.001589118
1751118851.336886,-0.006083467,0.508842090,-0.001645462
1751118851.344090,-0.006119629,0.514559942,-0.001680247
1751118851.353758,-0.006161875,0.522751150,-0.001730375
1751118851.364770,-0.006215686,0.531799827,-0.001786133
1751118851.378265,-0.006261528,0.539508262,-0.001834046
1751118851.389141,-0.006470834,0.551748612,-0.001911972
1751118851.394246,-0.006520085,0.556222082,-0.001940919
1751118851.405543,-0.006677566,0.566173073,-0.002006585
1751118851.413988,-0.006791601,0.573378737,-0.002055113
1751118851.423878,-0.006852575,0.581915069,-0.002113089
1751118851.433306,-0.006887127,0.590235197,-0.002170104
1751118851.444396,-0.007001883,0.599792775,-0.002236478
1751118851.454400,-0.007042267,0.608404857,-0.002296780
1751118851.465414,-0.007084899,0.617989692,-0.002364280
1751118851.474636,-0.007173525,0.626764100,-0.002426447
1751118851.484622,-0.007258756,0.635853883,-0.002491654
1751118851.495177,-0.007346322,0.645192589,-0.002559442
1751118851.504640,-0.007445342,0.653834721,-0.002623359
1751118851.519899,-0.007611504,0.667854765,-0.002728910
1751118851.525119,-0.007669430,0.671888258,-0.002759728
1751118851.534929,-0.007804512,0.681294249,-0.002832504
1751118851.544815,-0.007857995,0.690371002,-0.002903345
1751118851.556676,-0.007899139,0.701195003,-0.002988401
1751118851.563982,-0.007980980,0.707962570,-0.003042137
1751118851.575038,-0.008099383,0.717753618,-0.003120861
1751118851.584761,-0.008215151,0.726656097,-0.003193482
1751118851.598802,-0.008449278,0.739353929,-0.003299286
1751118851.606003,-0.008524335,0.745253039,-0.003349352
1751118851.615803,-0.008529195,0.754450306,-0.003427754
1751118851.626203,-0.008584832,0.763173314,-0.003502156
1751118851.635500,-0.008703850,0.772426200,-0.003582143
1751118851.645316,-0.008817382,0.781252441,-0.003659469
